Pixels Certification IDs,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Internal Product Name,Product Category Short Code,Product Short Code,Version,Version short code,Color,Color Initials,Color Lookup,Product Name,dieType Lookup,full name lookup,Product Full Name (Generated),Packaging Full Name (Generated),Model ID (Generated),Packaging Model ID (Generated),FCC ID (Generated),IC ID (Generated),GS1 US TIN,Packaging FCC ID 1 (Generated),Packaging FCC ID 2 (Generated),Packaging IC ID 1 (Generated),Packaging IC ID 2 (Generated),Internal Notes
This is what we typicall call the product,,,Usually PCB / FPC version,,"For dice the resin color, for others the plastic color",,For label printing,,For label printing,For label printing,How it will appear on official documentation (for instance US TIN description),How the item is identified on its package,Certification-relevant Model numbers. Excludes color variants.,Customer-relevant model number. Only changes if customer/store can tell the difference. Includes color,Company ID 2BB52,Company ID 31060,UPC code,Actual Item,"Charger, etc…",Actual Item,"Charger, etc…",
,,,,,,,,,,,,,,,,,,,,,,
Single Charger,CHG,001A,V19,190,Black,BK,,Single Die Charger,,,Pixels Single Die Charger,Pixels Single Die Charger,CHG-001A,CHG-001A (BK),2BB52-CHG001A,31060-CHG001A,,2BB52-CHG001A,,,,Only works with first batch D20s
,CHG,001A,V20,200,Black,BK,,Single Die Charger,,,Pixels Single Die Charger,Pixels Single Die Charger,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LCC,CHG,008A,V1,010,Black,BK,,Large Charging Case,,,Pixels Large Charging Case Black,Pixels Large Charging Case Black,CHG-008A,CHG-008A (BK),2BB52-CHG008A,31060-CHG008A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
D20,PXL,D20A,V15.1,151,Midnight Galaxy,MG,midnightgalaxy,D20,d20,d20-midnightgalaxy,Pixels D20 Midnight Galaxy,D20 - Midnight Galaxy,PXL-D20A,PXL-D20A (MG),2BB52-PXLDIEA,31060-PXLDIEA,00850055703001,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,Only works with V19 chargers
,PXL,D20A,V15.2,152,Midnight Galaxy,MG,midnightgalaxy,D20,d20,d20-midnightgalaxy,Pixels D20 Midnight Galaxy,D20 - Midnight Galaxy,,PXL-D20A (MG),2BB52-PXLDIEA,31060-PXLDIEA,00850055703001,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D20A,V15.2,152,Aurora Sky,AS,aurorasky,D20,d20,d20-aurorasky,Pixels D20 Aurora Sky,D20 - Aurora Sky,,PXL-D20A (AS),2BB52-PXLDIEA,31060-PXLDIEA,00850055703018,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D20A,V15.2,152,Clear,CL,clear,D20,d20,d20-clear,Pixels D20 Clear,D20 - Clear,,PXL-D20A (CL),2BB52-PXLDIEA,31060-PXLDIEA,00850055703025,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D20A,V15.2,152,Onyx Black,OB,onyxblack,D20,d20,d20-onyxblack,Pixels D20 Onyx Black,D20 - Onyx Black,,PXL-D20A (OB),2BB52-PXLDIEA,31060-PXLDIEA,00850055703032,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D20A,V15.2,152,Hematite Grey,HG,hematitegrey,D20,d20,d20-hematitegrey,Pixels D20 Hematite Grey,D20 - Hematite Grey,,PXL-D20A (HG),2BB52-PXLDIEA,31060-PXLDIEA,00850055703049,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,,,,,,,,,,,,,,,,,,,,,,
D12,PXL,D12A,V3,030,Midnight Galaxy,MG,midnightgalaxy,D12,d12,d12-midnightgalaxy,Pixels D12 Midnight Galaxy,D12 - Midnight Galaxy,PXL-D12A,PXL-D12A (MG),2BB52-PXLDIEA,31060-PXLDIEA,00850055703056,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D12A,V3,030,Aurora Sky,AS,aurorasky,D12,d12,d12-aurorasky,Pixels D12 Aurora Sky,D12 - Aurora Sky,,PXL-D12A (AS),2BB52-PXLDIEA,31060-PXLDIEA,00850055703063,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D12A,V3,030,Clear,CL,clear,D12,d12,d12-clear,Pixels D12 Clear,D12 - Clear,,PXL-D12A (CL),2BB52-PXLDIEA,31060-PXLDIEA,00850055703070,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D12A,V3,030,Onyx Black,OB,onyxblack,D12,d12,d12-onyxblack,Pixels D12 Onyx Black,D12 - Onyx Black,,PXL-D12A (OB),2BB52-PXLDIEA,31060-PXLDIEA,00850055703087,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D12A,V3,030,Hematite Grey,HG,hematitegrey,D12,d12,d12-hematitegrey,Pixels D12 Hematite Grey,D12 - Hematite Grey,,PXL-D12A (HG),2BB52-PXLDIEA,31060-PXLDIEA,00850055703094,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,,,,,,,,,,,,,,,,,,,,,,
D00,PXL,D00A,V3,030,Midnight Galaxy,MG,midnightgalaxy,D00,d00,d00-midnightgalaxy,Pixels D00 Midnight Galaxy,D00 - Midnight Galaxy,PXL-D00A,PXL-D00A (MG),2BB52-PXLDIEA,31060-PXLDIEA,00850055703100,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D00A,V3,030,Aurora Sky,AS,aurorasky,D00,d00,d00-aurorasky,Pixels D00 Aurora Sky,D00 - Aurora Sky,,PXL-D00A (AS),2BB52-PXLDIEA,31060-PXLDIEA,00850055703117,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D00A,V3,030,Clear,CL,clear,D00,d00,d00-clear,Pixels D00 Clear,D00 - Clear,,PXL-D00A (CL),2BB52-PXLDIEA,31060-PXLDIEA,00850055703124,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D00A,V3,030,Onyx Black,OB,onyxblack,D00,d00,d00-onyxblack,Pixels D00 Onyx Black,D00 - Onyx Black,,PXL-D00A (OB),2BB52-PXLDIEA,31060-PXLDIEA,00850055703131,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D00A,V3,030,Hematite Grey,HG,hematitegrey,D00,d00,d00-hematitegrey,Pixels D00 Hematite Grey,D00 - Hematite Grey,,PXL-D00A (HG),2BB52-PXLDIEA,31060-PXLDIEA,00850055703148,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,,,,,,,,,,,,,,,,,,,,,,
D10,PXL,D10A,V3,030,Midnight Galaxy,MG,midnightgalaxy,D10,d10,d10-midnightgalaxy,Pixels D10 Midnight Galaxy,D10 - Midnight Galaxy,PXL-D10A,PXL-D10A (MG),2BB52-PXLDIEA,31060-PXLDIEA,00850055703155,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D10A,V3,030,Aurora Sky,AS,aurorasky,D10,d10,d10-aurorasky,Pixels D10 Aurora Sky,D10 - Aurora Sky,,PXL-D10A (AS),2BB52-PXLDIEA,31060-PXLDIEA,00850055703162,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D10A,V3,030,Clear,CL,clear,D10,d10,d10-clear,Pixels D10 Clear,D10 - Clear,,PXL-D10A (CL),2BB52-PXLDIEA,31060-PXLDIEA,00850055703179,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D10A,V3,030,Onyx Black,OB,onyxblack,D10,d10,d10-onyxblack,Pixels D10 Onyx Black,D10 - Onyx Black,,PXL-D10A (OB),2BB52-PXLDIEA,31060-PXLDIEA,00850055703186,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D10A,V3,030,Hematite Grey,HG,hematitegrey,D10,d10,d10-hematitegrey,Pixels D10 Hematite Grey,D10 - Hematite Grey,,PXL-D10A (HG),2BB52-PXLDIEA,31060-PXLDIEA,00850055703193,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,,,,,,,,,,,,,,,,,,,,,,
D8,PXL,D08A,V2,020,Midnight Galaxy,MG,midnightgalaxy,D8,d8,d8-midnightgalaxy,Pixels D8 Midnight Galaxy,D8 - Midnight Galaxy,PXL-D08A,PXL-D08A (MG),2BB52-PXLDIEA,31060-PXLDIEA,00850055703209,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D08A,V2,020,Aurora Sky,AS,aurorasky,D8,d8,d8-aurorasky,Pixels D8 Aurora Sky,D8 - Aurora Sky,,PXL-D08A (AS),2BB52-PXLDIEA,31060-PXLDIEA,00850055703216,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D08A,V2,020,Clear,CL,clear,D8,d8,d8-clear,Pixels D8 Clear,D8 - Clear,,PXL-D08A (CL),2BB52-PXLDIEA,31060-PXLDIEA,00850055703223,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D08A,V2,020,Onyx Black,OB,onyxblack,D8,d8,d8-onyxblack,Pixels D8 Onyx Black,D8 - Onyx Black,,PXL-D08A (OB),2BB52-PXLDIEA,31060-PXLDIEA,00850055703230,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D08A,V2,020,Hematite Grey,HG,hematitegrey,D8,d8,d8-hematitegrey,Pixels D8 Hematite Grey,D8 - Hematite Grey,,PXL-D08A (HG),2BB52-PXLDIEA,31060-PXLDIEA,00850055703247,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,,,,,,,,,,,,,,,,,,,,,,
D6,PXL,D06A,V5,050,Midnight Galaxy,MG,midnightgalaxy,D6,d6,d6-midnightgalaxy,Pixels D6 Midnight Galaxy,D6 - Midnight Galaxy,PXL-D06A,PXL-D06A (MG),2BB52-PXLDIEA,31060-PXLDIEA,00850055703254,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D06A,V5,050,Aurora Sky,AS,aurorasky,D6,d6,d6-aurorasky,Pixels D6 Aurora Sky,D6 - Aurora Sky,,PXL-D06A (AS),2BB52-PXLDIEA,31060-PXLDIEA,00850055703261,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D06A,V5,050,Clear,CL,clear,D6,d6,d6-clear,Pixels D6 Clear,D6 - Clear,,PXL-D06A (CL),2BB52-PXLDIEA,31060-PXLDIEA,00850055703278,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D06A,V5,050,Onyx Black,OB,onyxblack,D6,d6,d6-onyxblack,Pixels D6 Onyx Black,D6 - Onyx Black,,PXL-D06A (OB),2BB52-PXLDIEA,31060-PXLDIEA,00850055703285,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D06A,V5,050,Hematite Grey,HG,hematitegrey,D6,d6,d6-hematitegrey,Pixels D6 Hematite Grey,D6 - Hematite Grey,,PXL-D06A (HG),2BB52-PXLDIEA,31060-PXLDIEA,00850055703292,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,,,,,,,,,,,,,,,,,,,,,,
D4,PXL,D04A,V5,050,Midnight Galaxy,MG,midnightgalaxy,D4,d4,d4-midnightgalaxy,Pixels D4 Midnight Galaxy,D4 - Midnight Galaxy,PXL-D04A,PXL-D04A (MG),2BB52-PXLDIEA,31060-PXLDIEA,00850055703308,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D04A,V5,050,Aurora Sky,AS,aurorasky,D4,d4,d4-aurorasky,Pixels D4 Aurora Sky,D4 - Aurora Sky,,PXL-D04A (AS),2BB52-PXLDIEA,31060-PXLDIEA,00850055703315,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D04A,V5,050,Clear,CL,clear,D4,d4,d4-clear,Pixels D4 Clear,D4 - Clear,,PXL-D04A (CL),2BB52-PXLDIEA,31060-PXLDIEA,00850055703322,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D04A,V5,050,Onyx Black,OB,onyxblack,D4,d4,d4-onyxblack,Pixels D4 Onyx Black,D4 - Onyx Black,,PXL-D04A (OB),2BB52-PXLDIEA,31060-PXLDIEA,00850055703339,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,D04A,V5,050,Hematite Grey,HG,hematitegrey,D4,d4,d4-hematitegrey,Pixels D4 Hematite Grey,D4 - Hematite Grey,,PXL-D04A (HG),2BB52-PXLDIEA,31060-PXLDIEA,00850055703346,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,,,,,,,,,,,,,,,,,,,,,,
PD6,PXL,DP6A,V4,040,Midnight Galaxy,MG,midnightgalaxy,Pipped D6,d6pipped,d6pipped-midnightgalaxy,Pixels Pipped D6 Midnight Galaxy,Pipped D6 - Midnight Galaxy,PXL-DP6A,PXL-DP6A (MG),2BB52-PXLDIEA,31060-PXLDIEA,00850055703353,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,DP6A,V4,040,Aurora Sky,AS,aurorasky,Pipped D6,d6pipped,d6pipped-aurorasky,Pixels Pipped D6 Aurora Sky,Pipped D6 - Aurora Sky,,PXL-DP6A (AS),2BB52-PXLDIEA,31060-PXLDIEA,00850055703360,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,DP6A,V4,040,Clear,CL,clear,Pipped D6,d6pipped,d6pipped-clear,Pixels Pipped D6 Clear,Pipped D6 - Clear,,PXL-DP6A (CL),2BB52-PXLDIEA,31060-PXLDIEA,00850055703377,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,DP6A,V4,040,Onyx Black,OB,onyxblack,Pipped D6,d6pipped,d6pipped-onyxblack,Pixels Pipped D6 Onyx Black,Pipped D6 - Onyx Black,,PXL-DP6A (OB),2BB52-PXLDIEA,31060-PXLDIEA,00850055703384,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,DP6A,V4,040,Hematite Grey,HG,hematitegrey,Pipped D6,d6pipped,d6pipped-hematitegrey,Pixels Pipped D6 Hematite Grey,Pipped D6 - Hematite Grey,,PXL-DP6A (HG),2BB52-PXLDIEA,31060-PXLDIEA,00850055703391,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,,,,,,,,,,,,,,,,,,,,,,
Fudge,PXL,DF6A,V5,050,Midnight Galaxy,MG,midnightgalaxy,Fudge,d6fudge,d6fudge-midnightgalaxy,Pixels Fudge Midnight Galaxy,Fudge - Midnight Galaxy,PXL-DF6A,PXL-DF6A (MG),2BB52-PXLDIEA,31060-PXLDIEA,00850055703407,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,DF6A,V5,050,Aurora Sky,AS,aurorasky,Fudge,d6fudge,d6fudge-aurorasky,Pixels Fudge Aurora Sky,Fudge - Aurora Sky,,PXL-DF6A (AS),2BB52-PXLDIEA,31060-PXLDIEA,00850055703414,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,DF6A,V5,050,Clear,CL,clear,Fudge,d6fudge,d6fudge-clear,Pixels Fudge Clear,Fudge - Clear,,PXL-DF6A (CL),2BB52-PXLDIEA,31060-PXLDIEA,00850055703421,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,DF6A,V5,050,Onyx Black,OB,onyxblack,Fudge,d6fudge,d6fudge-onyxblack,Pixels Fudge Onyx Black,Fudge - Onyx Black,,PXL-DF6A (OB),2BB52-PXLDIEA,31060-PXLDIEA,00850055703438,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,PXL,DF6A,V5,050,Hematite Grey,HG,hematitegrey,Fudge,d6fudge,d6fudge-hematitegrey,Pixels Fudge Hematite Grey,Fudge - Hematite Grey,,PXL-DF6A (HG),2BB52-PXLDIEA,31060-PXLDIEA,00850055703445,2BB52-PXLDIEA,2BB52-CHG001A,31060-PXLDIEA,31060-CHG001A,
,,,,,,,,,,,,,,,,,,,,,,
Standard Set,SET,RPGA,V1,010,Midnight Galaxy,MG,midnightgalaxy,RPG Set,setrpg,setrpg-midnightgalaxy,Pixels RPG Set Midnight Galaxy,RPG Set - Midnight Galaxy,SET-RPGA,SET-RPGA (MG),N/A,N/A,00850055703452,,,,,
,SET,RPGA,V1,010,Aurora Sky,AS,aurorasky,RPG Set,setrpg,setrpg-aurorasky,Pixels RPG Set Aurora Sky,RPG Set - Aurora Sky,,SET-RPGA (AS),,,00850055703469,,,,,
,SET,RPGA,V1,010,Clear,CL,clear,RPG Set,setrpg,setrpg-clear,Pixels RPG Set Clear,RPG Set - Clear,,SET-RPGA (CL),,,00850055703476,,,,,
,SET,RPGA,V1,010,Onyx Black,OB,onyxblack,RPG Set,setrpg,setrpg-onyxblack,Pixels RPG Set Onyx Black,RPG Set - Onyx Black,,SET-RPGA (OB),,,00850055703483,,,,,
,SET,RPGA,V1,010,Hematite Grey,HG,hematitegrey,RPG Set,setrpg,setrpg-hematitegrey,Pixels RPG Set Hematite Grey,RPG Set - Hematite Grey,,SET-RPGA (HG),,,00850055703490,,,,,